Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Realize whatever enter where,1970,5.1,Action,Jason Molina,97,Hindi,902.04,Hernandez-Stokes,Anthony Harper,Sherry Thomas,Liechtenstein,664390,192.3,False
Rise agency,2009,5.1,Drama,Kristen Byrd,96,German,852.13,Hunter-Cole,Kimberly Campbell,Jacob Snow,Paraguay,314716,112.46,False
Baby tonight traditional,1992,1.0,Fantasy,Denise Vargas,97,English,634.12,"Wilson, Diaz and Marquez",John Watson,Martin Lee,Wallis and Futuna,709528,142.41,False
Once economy body,1976,8.9,Mystery,Melissa Fisher,141,Japanese,620.12,Miller and Sons,Jared Michael,Regina Roberts,Namibia,429658,172.94,True
Election service when,2017,1.0,Comedy,Michael Gonzales,131,Hindi,694.55,"Garza, Wu and Powell",John Richardson,Mary Nelson,Uruguay,668823,87.38,False
Member imagine real,1980,7.0,Drama,Alison Mccoy,147,Hindi,760.23,"Newman, Haney and Blair",Brandon Medina,Christopher Mcdonald,Thailand,691386,88.55,True
Drop onto small,2019,1.4,Romance,Natalie Cunningham,145,Japanese,675.82,Herman-Sanchez,Kevin Fritz,Jordan Petersen MD,Congo,881532,119.17,False
Again assume before,1984,7.2,Animation,Grant Quinn,126,Japanese,630.46,Franklin-Hodge,Jeffrey Bishop,Thomas Cruz,Norfolk Island,509113,77.51,True
Magazine model,1992,3.8,Action,Elizabeth Cervantes,100,Mandarin,693.41,"Gomez, Clayton and Odonnell",James Stone,Donna Reyes,Mauritania,594455,46.36,False
Doctor especially,1981,6.2,Action,Nathaniel Owens,165,Korean,388.93,"Wilcox, Vargas and Brown",Jennifer Robinson,Donna Villegas,Togo,537529,2.64,True
Social seven address,1995,7.1,Mystery,Victoria Williams,161,Japanese,580.23,"Vega, Cameron and Allen",Carol Lewis,Paige Oliver,Belgium,219204,16.0,True
Enter entire responsibility control,1989,6.3,Thriller,Michael Hill,127,Mandarin,766.08,Reid-Campbell,Dan Murphy,Joyce Myers MD,Tonga,988591,107.59,True
Situation piece accept,2013,6.6,Fantasy,Stephanie Brennan DVM,86,Spanish,178.34,"Hayden, Todd and Torres",Edward Price,Kathryn Marshall,Taiwan,191951,56.07,False
Ago mouth candidate character,1982,5.3,Action,Tracy Hamilton,107,Spanish,515.31,"Edwards, Romero and Mitchell",Courtney Gonzalez,Melissa Sanchez,Armenia,172217,115.57,True
Table necessary kid popular,1993,7.8,Fantasy,Christine Thompson,178,English,59.22,"Strong, Mueller and Malone",William Jackson,Daniel Acevedo,Chile,994536,96.92,True
Little plan population,1987,1.9,Comedy,Mark Singh,139,Hindi,907.58,"Santiago, Jensen and Meyer",Christopher Pierce,Jennifer Fischer,Isle of Man,203097,15.09,True
Situation series health,1981,2.2,Action,Christine Thomas,157,Korean,192.4,Gilbert Ltd,Adam Jones,Lee Sanchez,Estonia,190317,127.39,True
Race,1993,6.7,Horror,Rachel Mueller,104,English,712.26,Ingram-Carter,Sylvia Stephens,Justin Johnson,Montserrat,156246,112.9,False
Power shoulder international,2008,7.0,Sci-Fi,Cory Smith,133,English,47.16,Price and Sons,Benjamin Thompson,Jared Blankenship,Bermuda,531645,217.98,True
Case whose economy,1983,9.6,Thriller,Nancy Thompson,179,Spanish,363.14,Wright-Jones,Tara Thompson,Anthony Peters,Ireland,339437,154.52,False
Stage already expect,2022,4.5,Mystery,Zachary Castro,148,Spanish,337.02,Flores-Woodard,Hannah Tate,Joanne Hull,Togo,615000,67.91,False
Mean them,1975,8.1,Thriller,Daniel Walker,171,French,243.17,Stevens and Sons,James Vasquez,Anne Wallace,Fiji,729279,20.52,False
Rather,1975,10.0,Thriller,John Reese,149,German,946.23,Daniels PLC,Shawn Dawson,Katie Neal,Brazil,246457,14.42,True
Body,1974,3.1,Drama,Matthew Dalton,152,French,65.43,Davila-Dunlap,Pamela Patel,Mrs. Katrina Fletcher,Lesotho,521848,90.39,True
Bit mean,1974,5.0,Animation,Christine Williams,115,Spanish,911.52,Harris and Sons,Mary Davis,David Rogers,Spain,953177,179.47,False
Spend much usually answer,2010,4.2,Animation,Chad Brooks,152,English,366.82,Lambert-Browning,Michael Johnston,Alexander Joseph,Myanmar,901272,123.12,False
Throughout capital those opportunity,2013,9.6,Thriller,Stacy Warren,129,Japanese,572.65,"Aguilar, Roberts and Lowery",Russell Smith,Paul Wolf,Anguilla,135889,296.9,True
Stop,1998,2.0,Horror,Jennifer May,123,English,8.2,"Smith, Berry and Duran",Daniel Ellis,Sharon Clark,France,316974,102.58,True
Fish cup end,1975,5.8,Fantasy,Michael Ali,113,English,746.43,Mckenzie-Hernandez,Robert Watkins,Daniel Jennings,Cyprus,470091,118.22,False
Never recently,1997,4.1,Drama,Victoria Williams,94,Korean,510.8,Riggs-Marks,Donald Jones,Darin Gray,Maldives,62401,158.02,True
Spring,2013,9.6,Sci-Fi,Jordan Patterson,165,Hindi,383.95,"Hampton, Reyes and Davis",Dr. William Wilkins Jr.,Christopher Burke,British Virgin Islands,617426,219.44,True
Knowledge leave yet decade,1991,3.1,Romance,Teresa Gates,82,Korean,272.23,"Green, Miller and Smith",Kimberly Waters,Lisa Kim,Paraguay,689996,33.45,False
Mother who cut throughout,2018,2.9,Animation,James Moran,143,Spanish,773.01,Hill-Frye,Nicholas Holland,John Adams,Belarus,230389,299.41,False
World push address,1978,6.5,Sci-Fi,Nathaniel Owens,103,Spanish,68.57,"Armstrong, Martinez and Walker",Zachary Hill,Nathaniel Johnson,Angola,677023,153.74,True
Friend behavior,1986,5.8,Fantasy,Heather Wolf,157,Korean,619.55,Bush Group,Dale Williams,Douglas Miller,Togo,260230,268.67,False
Pm doctor,1983,7.3,Mystery,Nancy Thompson,117,Hindi,428.78,Stokes-Morgan,David Hooper,Christopher Fisher,Solomon Islands,356959,273.38,True
Her certain once,2006,9.0,Romance,Alyssa Crosby,115,Japanese,102.55,"Smith, Smith and Johnson",Todd Flores,Steve Lewis,Bolivia,65428,93.4,True
Live chair practice suffer,2017,8.6,Horror,Nicole Woods,112,Korean,758.18,Hall Ltd,Thomas Lopez,Ryan Perez,Iraq,55523,21.11,True
Thing break speak,1996,6.8,Fantasy,Robert Blankenship,154,Mandarin,645.17,Rice Inc,Samuel Ford,Billy Snyder,Niue,955139,232.74,True
Respond any bill bill,1977,7.5,Mystery,Michael Gonzales,162,Hindi,361.26,Noble-Brown,Jessica Parker,Aaron Mills,Guinea,989059,297.55,False
Poor throughout difficult,2005,3.9,Drama,Charles Conrad,156,English,408.69,Hartman Inc,Brett Greene,Anita Zimmerman,Puerto Rico,534735,220.12,True
Very thousand,2014,9.6,Romance,Victoria Williams,130,Korean,174.27,Potter-Roberts,Alicia Cline,April Williams,Sweden,87016,43.79,True
Imagine wind,2012,3.9,Action,Melissa Fisher,136,Spanish,379.0,"Price, Cooper and Hall",Vincent Roberts,Ricardo Short,Lao People's Democratic Republic,478441,296.03,True
Everybody quality,1998,7.6,Romance,Anna Brown,128,Korean,297.73,Petty-Edwards,Joshua Parker,Alvin Fritz,Spain,996539,218.37,False
Yet five,1994,7.7,Horror,Steven Woodward,91,German,0.61,Hoover Inc,Stephanie Perry,Lisa Wilson,Chad,389896,199.7,True
Some war drug,1977,9.1,Thriller,Rachel Mueller,124,French,71.99,Fitzgerald-Ward,Kelly Larsen,Jose White,Russian Federation,955008,253.08,True
Education couple market,1989,4.2,Action,Clayton Horn,88,Spanish,411.16,Smith PLC,Christine Wood,William Shah,Bermuda,354307,105.41,False
Actually,1984,6.0,Drama,David Sharp,164,Spanish,153.3,Cunningham LLC,Christine Rivera,Nathaniel Gray,Azerbaijan,378639,4.84,True
Else,1979,9.4,Sci-Fi,Sandra Smith,155,Spanish,490.96,"Lester, Martinez and Macdonald",John Hill,Katrina Cruz,Tajikistan,228039,49.41,True
Require yeah just,1984,3.2,Thriller,Yolanda Torres,174,Spanish,892.14,Wood-Joseph,Kathy Hunter,John Malone,Vanuatu,825748,222.87,False
Likely still born,1996,1.1,Mystery,Angel Montgomery,141,French,28.65,Lindsey-Nguyen,Benjamin Nash,Robert Reyes,Jamaica,694342,46.61,True
Say night affect,1985,4.0,Drama,Heather Wolf,144,Korean,164.8,"Johnson, Gray and Wright",Elijah Davis,Joseph Martinez,Dominica,463636,157.41,False
Thought they,2022,5.7,Romance,Tamara Barber,152,French,836.96,"Benson, Rodriguez and Gaines",Shane Jimenez,Ashlee Lucas,Hungary,895086,177.24,True
Special a,1992,3.1,Romance,Nicole Woods,160,English,948.09,Jackson Ltd,Paul Simon,Jason Hart,New Caledonia,231017,198.67,True
Black part,2008,1.3,Action,Denise Vargas,133,Hindi,756.27,"Walker, Bond and Meyer",Eric Jackson,Stacey Parrish,Cook Islands,252071,196.36,True
After professional,1989,4.1,Action,Priscilla Davis,81,French,936.06,"Smith, Neal and Gibson",Frank Skinner,Jamie Carlson,British Virgin Islands,204112,95.47,False
Since I,1982,9.4,Mystery,Joyce Brown,105,German,704.96,Dominguez-Armstrong,Tyler Smith,Mr. Mark Ford,Japan,710479,170.69,False
Reach step,2014,2.7,Horror,Alyssa Crosby,84,Spanish,193.83,"Brewer, Walker and Williams",Mitchell Johnson,Larry Gay,Maldives,165007,211.22,False
Save special receive,2003,7.2,Sci-Fi,Donald Stephens,150,English,582.11,White-Schneider,Tammy Jones,Sherri Chapman,Svalbard & Jan Mayen Islands,660120,2.86,False
Participant,1974,3.2,Sci-Fi,Jordan Patterson,154,Mandarin,551.68,"Whitaker, Lozano and Bonilla",Russell Weaver,Amanda Rivas,Bulgaria,177551,185.23,False
Product front,2015,5.7,Fantasy,Jennifer Mejia,86,Hindi,512.27,Mcdonald-Allen,Kathryn Lawson,Vickie Kim,Australia,388915,37.44,True
Usually improve four,1995,5.9,Horror,Jeremy Bruce,152,Spanish,565.99,Rodriguez-Chang,David Williams,Loretta Johnson,New Zealand,59520,70.94,True
Prepare always develop,2000,3.6,Romance,Nancy Thompson,178,Korean,20.42,"Mccarthy, Oconnell and Brown",Troy Cox,Kayla Higgins,Aruba,376732,26.5,True
Into somebody marriage,1999,7.9,Fantasy,Diana Allen,150,Korean,374.37,Bell-Jackson,Tracey Smith,Bruce Patterson,Poland,34730,209.58,True
Purpose current trial,1997,9.9,Mystery,Alicia Thomas,134,Mandarin,259.78,"Fitzpatrick, Jimenez and Graves",Allison Hahn,Deborah Martinez,Bangladesh,804559,100.44,False
Sell health,2008,6.7,Romance,Matthew Dalton,80,English,57.17,"Anderson, Hernandez and Monroe",Laura Reed,Katie Baker,Equatorial Guinea,679932,96.49,True
Pay century land,2001,1.8,Romance,Seth Jimenez,142,Korean,887.84,Vasquez Inc,Douglas Hall,Dorothy Coleman,Zimbabwe,148154,137.64,False
Study send,1983,3.0,Sci-Fi,Anna Freeman,144,French,478.53,Soto-Miller,Brittany Johnson,Gregory Brown,Greece,132469,253.31,False
Pull hair who,1976,2.7,Animation,Charles Conrad,97,Hindi,568.46,Sutton Ltd,William Allen,Shelia Williams,Korea,948862,119.04,True
Fear get,1971,2.1,Animation,Clayton Horn,141,Korean,145.41,"Gates, Gray and Price",Gwendolyn Durham,Gavin Bryant,Swaziland,303865,212.2,False
Health let,2019,2.4,Horror,Jorge Diaz,98,Mandarin,65.52,Johnson Inc,Susan Johnson,James Weaver,Wallis and Futuna,771058,195.26,True
Tonight once,1978,7.9,Drama,Cheryl Keller,160,English,724.19,"Gibbs, Holt and Nichols",Jonathan Cabrera,Angela Anderson,Latvia,559564,192.57,False
You that cover,2009,2.5,Action,Eric Daniel,119,Mandarin,410.84,Martin LLC,David Odom,Sydney Davies,Belize,597545,116.8,True
Bit both nearly,2019,5.2,Horror,John Leonard,129,Hindi,925.12,Moody LLC,Christopher Dickerson,Elizabeth Turner,Spain,826203,216.41,True
Tax push reach,2024,6.9,Animation,Amber Farmer,178,Korean,222.37,Franco-Mitchell,Christina Kelly,Linda Mcdaniel,Belgium,123737,229.45,True
Quickly region,1971,1.1,Fantasy,Mark Singh,144,German,360.47,Johnson Ltd,Victoria Ingram,Warren Roman,Antarctica (the territory South of 60 deg S),316827,239.15,False
Character job,1994,7.9,Horror,Joseph Chapman,176,Korean,241.14,Davis-Campbell,Jessica Brandt,Kimberly Kelly,Slovakia (Slovak Republic),616453,198.62,True
Politics never with,1970,9.4,Comedy,Zachary Evans,134,Mandarin,748.09,Kramer PLC,Melanie Livingston,Joseph Potter,Colombia,971790,115.21,True
Discussion indeed,1990,4.2,Action,Adam Hodge,179,English,75.56,"Joseph, Nelson and Baldwin",Keith Thompson,Tammy Hodges,Kuwait,355564,33.14,True
Institution man degree,1990,4.0,Horror,Joseph Bailey,124,French,215.74,Monroe Group,Scott Lucas,Tyler Howard,Trinidad and Tobago,555225,50.88,True
Hundred phone peace,1993,4.7,Drama,Arthur Moore,138,German,361.31,Pace-Randall,Brittany Murphy,Monica Sherman,Tunisia,740643,192.39,False
Growth these writer,1978,2.5,Romance,Eric Escobar,106,Mandarin,215.97,Walker-Rice,Jennifer Stone,David Williams,Reunion,603908,160.07,False
Human treat,1976,8.0,Thriller,Daniel Compton,88,Spanish,912.07,Baker-Jackson,Christopher Lambert,Ricardo Lee,French Guiana,382808,60.68,True
Concern rise,2012,3.1,Horror,Amber Farmer,137,French,571.35,Olson-Fox,Joseph Johnson,Ashley Russell,Singapore,177969,110.99,False
When answer,2009,2.4,Fantasy,Margaret Walker,133,Hindi,577.41,White Ltd,Nicholas Watkins,Jeffrey Smith,Uganda,420751,201.64,False
Test foot take,1983,3.7,Fantasy,Cory Smith,124,German,481.44,Chapman-Mckenzie,Terry Campbell,Martin Williams Jr.,Singapore,268088,50.55,True
When goal wrong,1995,5.4,Drama,Gabrielle Oneill,154,Hindi,92.85,Vasquez-Monroe,Donald Page,Christopher Stevens,Cyprus,956434,37.07,True
Ready term,1987,1.9,Sci-Fi,Christine Thomas,82,Mandarin,313.94,Krause Ltd,Bryan Stevens,Michael Elliott,Morocco,318035,27.69,True
Tv share,2003,6.4,Thriller,Matthew Underwood,119,Spanish,270.23,Miles Inc,Brian Tucker,Michelle Maynard,Togo,196866,216.54,False
Draw,1992,1.2,Drama,Anna Brown,134,Korean,397.25,"Hill, Ball and Gallagher",Christina Floyd,Robert Castro,Saint Lucia,542737,192.77,False
No believe,1983,7.5,Sci-Fi,John Reese,147,Mandarin,898.32,"Crawford, Davidson and Hill",Kimberly Taylor,Kevin Pacheco,Cuba,687439,10.61,True
Training long civil,2023,2.1,Action,Joshua Ramos,176,German,650.41,"Hardy, Booth and Rollins",Chad Young,Matthew Stanton,Gabon,65720,116.51,True
Friend main air eye,2013,2.3,Horror,William Smith,173,Korean,760.02,Smith LLC,Carrie Arias,Vincent Jones,United States Virgin Islands,905264,147.79,True
Ago yourself,2005,3.3,Action,Ashley Clements,147,English,846.25,"Wolf, Swanson and Jenkins",Cynthia Leach,Lucas Miller,Uganda,345205,248.25,False
Official sport whatever,2009,2.8,Mystery,Jennifer Mejia,114,Hindi,469.97,Peters Ltd,Tiffany Davis,Joseph Smith,Mauritius,495188,257.45,True
Represent agency,2012,7.6,Horror,Paula Ray,144,French,182.33,"Martinez, Adams and Davis",Austin Campbell,Caleb Wiggins,Grenada,432809,68.74,False
Dark everybody responsibility,2003,6.0,Horror,Sandra Dickerson,159,Spanish,424.1,Brewer-Weaver,Tonya Smith,Brittany Leach,Isle of Man,667376,232.7,False
Important try series,1973,2.4,Animation,Melissa Fisher,106,French,249.99,Roach LLC,Brandy Mcmahon,Tiffany Ford,Iran,146476,100.41,False
Sign catch,1987,4.5,Sci-Fi,Anna Brown,177,Korean,247.13,Mendoza-Hicks,Alan Hunt,Michael Stanley,Holy See (Vatican City State),453139,136.29,False
Enter dinner,2015,4.4,Mystery,Robert Blankenship,172,Hindi,749.48,Holmes-Farley,Kevin Edwards,Alexis Silva,Dominica,888541,56.97,False
She rest assume,1984,3.8,Horror,Cindy Davis,102,Spanish,376.36,"Russell, Smith and Byrd",Kimberly Ramos,Amber Diaz,Congo,917802,73.23,True
Ability executive party,2004,5.4,Fantasy,Matthew Maynard,120,Hindi,490.05,Moody-Ali,Tammy Hood,Michael Barajas,Serbia,701330,217.28,True
Message end against,2009,2.4,Drama,Michael Gonzales,134,Japanese,24.89,Steele-Hall,Gregory Shelton,Jeremiah Bell,Uzbekistan,129960,224.71,True
Difference assume eye,1972,7.5,Comedy,Virginia Johnson,172,Korean,889.73,Soto PLC,Brandon Lambert,Walter Lopez,Malawi,82554,59.53,True
Understand easy,1999,5.3,Comedy,James Moran,123,Japanese,535.32,Allen and Sons,Susan Escobar,Stephen Brown,Madagascar,750517,185.96,False
Turn commercial,2020,9.9,Horror,Evan Mckee,150,English,411.26,"Cooper, Wheeler and Carter",Bethany Levine,Heather Young,Wallis and Futuna,667179,131.66,True
Discover book various,1984,5.2,Fantasy,Tracy Hamilton,106,Japanese,937.29,Edwards-Moore,John Gomez,Heather Lawrence,Anguilla,304441,16.5,False
Because prove,2018,8.4,Comedy,Jessica Thompson,96,French,239.41,Wells-Flores,Rebecca Horton,Christopher French,Iran,590164,234.24,True
Low girl not,2018,1.3,Comedy,Randall Alvarez,159,French,820.49,"Green, Page and Blake",Janet Miller,Tracy Padilla,Egypt,433196,156.13,True
These professional,2005,5.8,Thriller,Linda Adkins,109,Japanese,127.91,"Holmes, Hall and Kidd",Michael Brown,Mr. Michael Johnson II,Zimbabwe,46742,30.06,False
Leg doctor,1984,8.9,Thriller,Ryan Alvarez,90,Mandarin,480.97,Taylor-Caldwell,Robert Smith,Yvonne Kim,Monaco,382795,9.12,False
Bar yes,2005,6.5,Romance,Amber Farmer,136,English,485.89,Reynolds-Brown,Mary Huffman,Mitchell Holmes,Israel,580434,239.6,False
About account to,1973,8.0,Romance,Jordan Patterson,80,Hindi,658.03,"Simmons, Thornton and Ritter",Adriana Miranda,April Joseph,Aruba,45474,26.86,False
Focus central successful garden,1999,1.7,Action,Brian Stone,160,German,325.96,"Ramirez, Sullivan and Skinner",Lori Williams,Steven Mcbride,Benin,194038,137.48,False
Apply public,2000,8.6,Romance,Paula Ray,82,Hindi,564.22,"Morgan, Mcdonald and Fox",Kimberly Kelly,Jason Cole,Macedonia,399517,282.9,False
Television boy wonder,2002,7.7,Comedy,Paula Ray,132,Hindi,545.3,Chavez LLC,Robert Cochran,Jennifer Warren,Vietnam,247015,51.11,True
Evidence age show,2022,9.1,Animation,Cheryl Keller,99,Spanish,784.36,Parsons-Johnson,Michael Oliver,Mr. Christopher Barker,Seychelles,386907,241.92,True
Reality popular,1977,5.5,Mystery,James Moran,110,French,721.55,Conner-Lamb,Jasmine Mendoza,Antonio Ellison,China,537087,75.94,True
Probably training play,2010,10.0,Thriller,Benjamin Holt,131,Korean,393.79,Mcclain Inc,Victoria Hale,Michael Castro,Moldova,600499,104.62,True
Because song point,2005,7.8,Comedy,Melissa Fisher,143,Korean,669.63,"Nelson, Brandt and Farrell",Roger Kim,John Webb,Ghana,729146,15.38,False
Medical ahead,1998,3.5,Drama,Nancy Thompson,115,German,796.11,Gray-Mills,George Campbell,Christopher Garcia,Angola,511603,50.63,False
Child feel culture,1981,2.9,Sci-Fi,Ms. Kimberly Andrews,124,English,389.8,"Morgan, Walton and Fritz",Julie Barnes,Andrea Welch DVM,Gibraltar,535470,293.56,True
Someone record,1988,5.2,Fantasy,Wayne Melendez,159,Japanese,330.81,"Frye, Jones and Black",Yvonne King DVM,Alexander Ferguson,Belize,666602,121.11,False
Money include indeed,2019,5.5,Mystery,Ryan Alvarez,86,German,824.85,Young PLC,Randy Gonzalez,Edward Ritter,Guatemala,308451,12.13,False
Near visit across,1976,5.3,Horror,Michael Hill,160,Spanish,460.78,Smith PLC,Christopher Mata,Perry Hall,Ghana,787768,192.18,False
Entire baby finally,1988,1.8,Fantasy,Christine Thompson,169,Spanish,866.78,"Knapp, Powell and Hart",Ryan Garcia,Lindsey Hodge,Nigeria,341617,135.24,True
Check music ground,2013,8.2,Mystery,Andre Mcdonald,91,Hindi,759.54,Taylor and Sons,Karen Leonard,Eric Mitchell,Paraguay,191017,14.49,True
Me as shake,1976,4.9,Animation,Cindy Davis,89,Korean,738.87,Donovan LLC,Karen Smith,Angela Thompson,Tajikistan,57676,58.95,False
Wall available,1986,8.2,Thriller,Catherine Williams,89,Mandarin,583.45,Macias-White,Nicholas Marquez,Michelle Henderson,United States Minor Outlying Islands,376250,41.28,False
Wait court,1978,4.1,Action,Mark Powers,156,French,45.88,Garcia PLC,David Reid,Sharon Haynes,British Indian Ocean Territory (Chagos Archipelago),199850,286.36,True
Various add,2015,2.4,Romance,Michael Ali,114,Spanish,357.99,Cook-George,Tara Pham,Michael Medina,Guam,89753,246.59,True
Feel international stage,2000,1.9,Horror,Aaron Howard,112,Mandarin,819.72,"Warner, Duran and Henderson",Megan Anderson,Timothy Hernandez,Brazil,182127,290.71,True
Other though plant choose,1973,6.7,Drama,Ryan Alvarez,110,Mandarin,586.23,Smith-Romero,Kelsey Robinson,Audrey Santos,Ireland,807978,48.94,True
Parent everything,1987,3.5,Action,Daniel Compton,130,French,84.01,Walker Group,Patty Jones,Dr. Joy Smith,Mali,286617,122.66,False
Process free,1972,7.4,Thriller,Andre Mcdonald,105,Spanish,428.44,Johnson-Richardson,Christine Sims,Arthur Davis,Marshall Islands,376400,147.86,False
Born player admit,2008,6.3,Fantasy,Margaret Walker,141,Mandarin,239.55,Atkins Inc,Jasmine Luna,Linda Dunn,Croatia,932569,232.05,True
Color full miss man,1979,2.8,Action,Thomas Silva,112,Spanish,79.4,"Douglas, Campos and Guzman",Eric Hood,Brittany White,Dominican Republic,986741,266.95,True
Out myself now,1974,9.0,Sci-Fi,Dr. David Schwartz,159,French,522.13,"Mcintyre, Lewis and Scott",Lindsay Harris,Chelsea Robinson,Canada,947820,182.07,True
Firm find,2006,9.8,Sci-Fi,Virginia Johnson,85,Korean,953.66,Miller Inc,Emily Valencia,Jessica Henderson,Morocco,686515,219.6,False
Understand certainly run,2011,2.6,Thriller,Tracy Freeman,172,French,958.5,Ruiz-Bentley,Sarah Charles,Sylvia Ramos,Saint Barthelemy,799631,236.4,False
Teach east,1973,9.2,Animation,Charles Evans,161,Hindi,549.03,"Harmon, Riggs and Lee",Jason Jones,Thomas Smith,Svalbard & Jan Mayen Islands,597488,46.7,False
Strategy PM,1989,6.4,Comedy,Robert Cook,159,Japanese,748.11,"Sharp, Bauer and Jones",Julia Manning,Shane Mcdowell,Guyana,737996,256.11,True
Finish make southern,2022,1.9,Mystery,Jennifer May,84,Spanish,618.73,Lopez PLC,Cynthia Taylor,Stephanie Dawson,Japan,954811,206.48,True
Stock explain,1993,5.0,Animation,Jorge Diaz,153,Korean,968.47,Larson LLC,David Bell,Miranda Ramirez,Greenland,921269,264.66,True
You into,1982,3.5,Fantasy,Dennis Butler,150,English,640.61,Herrera Inc,Joseph Bautista,Carrie Weber,Saint Helena,928977,245.18,False
Dinner,2005,4.0,Thriller,Gregory Woodard,115,Korean,14.07,Lopez PLC,Charles Smith,Leah Gibson,Canada,431607,259.98,False
Fire young around,1986,3.3,Mystery,Charles Coleman,155,Spanish,74.32,Harrison and Sons,Stephanie Chavez,Heather Tapia,Western Sahara,395594,207.14,True
Civil election,1987,9.2,Comedy,William Smith,124,Spanish,961.9,Pham-Roberts,John Neal,Alyssa Miller,France,386406,30.42,True
Laugh box purpose,1972,7.9,Animation,Kristen Byrd,123,Spanish,183.82,"Davis, Arias and Waters",Eric Webb,Nicole Paul,Bermuda,744241,200.15,False
Operation inside smile,2008,2.7,Drama,Mark Powers,145,Japanese,409.08,Garrett Inc,Stephen Johnson,James Lynn,Malawi,393605,51.06,True
Development summer,1998,6.4,Action,Alicia Thomas,94,Spanish,394.97,Smith Ltd,Julia Hanna,Madison Gonzales,Pitcairn Islands,203346,127.67,False
Pattern PM year,1983,5.3,Action,Matthew Dalton,92,Japanese,923.95,Bauer PLC,Brian Wilson,Calvin Lopez,Myanmar,973390,27.49,True
Because dog yourself,1989,8.6,Romance,Karen Martinez MD,94,French,121.8,West-Randall,Janet Ball,Michael Norman,Nigeria,52187,115.75,False
Purpose age company dog,1972,6.7,Romance,Heather Wolf,118,Hindi,91.68,Bauer and Sons,Lindsay Downs,Jacob Harris,Nicaragua,153137,244.89,False
Unit fight lay,1992,2.6,Comedy,Gregory Woodard,136,French,122.17,Anderson-Page,Brooke Ferguson,Debra Hernandez,Monaco,896570,250.56,True
Stop wife even,1976,2.0,Mystery,Zachary Castro,155,French,217.45,"Rowland, Gonzalez and Osborn",Alexis Kim,Bethany Krueger,Lithuania,256758,270.72,True
Safe ever,2018,9.2,Drama,Christine Thompson,120,Hindi,708.4,Ross and Sons,Taylor Powell,Anita Leon,Myanmar,187448,243.79,True
Walk down,1998,2.1,Action,Jason Molina,159,French,629.85,Randall Group,James Cameron,Sonia Massey,Lithuania,385983,276.66,False
South degree,1995,3.5,Animation,Matthew Martin,144,English,556.19,"Peters, Jackson and Jackson",Ethan Nicholson,Matthew Woods,Korea,451146,46.55,False
Participant bill,2002,9.2,Thriller,Michael Gonzales,147,Japanese,71.96,Mahoney-Baker,Alexander Reed,Lisa Whitehead,Congo,635018,96.0,True
Both official,2012,1.5,Thriller,Mark Powers,155,Spanish,478.21,Sandoval-Sloan,William Morgan,Sheena Ferguson,Turks and Caicos Islands,957556,163.39,True
Institution unit,2016,8.7,Fantasy,Jeffery Anderson,125,Japanese,770.57,Brady-Sanchez,Joel Hill,Zachary Jackson,Venezuela,959978,156.09,True
Subject stock,1985,9.0,Fantasy,Matthew Dalton,166,French,86.22,Phillips-Berry,Cynthia Fisher,Corey Wood,South Georgia and the South Sandwich Islands,215192,32.04,True
Word look loss,2024,7.9,Drama,Rachel Mueller,173,French,254.17,"Stanley, Miles and Kramer",Devin Keller,Michael Brown,Belize,205685,20.32,True
Continue season single tend,1973,1.4,Romance,Paul Martinez,173,English,607.25,"Smith, Mahoney and Henderson",Diane Kemp,Chloe Howell,Latvia,336666,67.69,False
Claim return quickly,2019,3.8,Mystery,Charles Conrad,129,English,627.01,Campbell Inc,Thomas Lee,Rebecca Dennis,Thailand,587858,251.18,False
Car moment work great,2016,7.9,Drama,Patricia Vaughn,141,Korean,581.49,Hamilton-Robinson,Megan Hayes,Anne Brady,Colombia,93983,247.36,True
Realize mind,2011,6.6,Fantasy,Andrea Smith,80,German,517.99,Evans-White,Christian Mcguire,Rachel Williams,Saint Martin,197900,210.55,True
Young public,2021,4.3,Fantasy,Michelle Brown,145,Japanese,916.07,Norton-Jones,Sherry Alvarado,Steven Smith,Tanzania,670073,17.32,True
Economy goal public,1996,7.7,Comedy,Jason Molina,90,English,708.17,David Ltd,Alexander Jackson,Julia Thompson,Palestinian Territory,196732,162.37,False
Your herself,2013,5.8,Fantasy,Michelle Brown,129,Japanese,162.72,"Lewis, Myers and Boyd",Crystal Morrison,Madison Jensen,Ghana,96458,200.11,False
Stage water material,1989,5.2,Drama,Alyssa Crosby,117,Korean,430.57,Wright Ltd,Lee Schwartz,Shannon Robinson,Taiwan,270734,253.03,True
She get,1997,3.5,Sci-Fi,Dennis Butler,88,German,230.71,Chavez Ltd,Tristan Vazquez,Michele Green,Saint Pierre and Miquelon,988991,140.27,False
Thing truth them,1973,7.4,Fantasy,Jermaine Mcdowell,145,Korean,56.45,Price Inc,Carrie Green,Karen Allen,Chad,202011,12.47,False
Condition food game,1974,6.1,Romance,Wayne Melendez,137,Hindi,119.68,"Liu, Parks and Shaffer",Jose Tran,Dawn Mckinney,Papua New Guinea,230735,137.78,True
Tough together,1987,3.0,Sci-Fi,Michelle Hunt,92,Korean,565.34,Wallace LLC,Jessica Reyes,John Smith,Nepal,875056,279.78,False
